name,domain,rank,style,subtype,attr,skill,defense,min,cost,expertises,expertises_mode,tags,flavor,target_label,target_html,effect_label,effect_html,surge1_n,surge1_html,surge2_n,surge2_html,rider_title,rider_html,rider_meta
Mantis Counts the Heartbeats,physical,2,Prowess,Opener,Grace,Prowess,Fortitude,3,1,"Dueling, Grappling",any,"damage, setup, control",,Target,One adjacent enemy.,Effect,"On success, deal 1 weapon Damage and reduce the target's Fortitude by 1 against your next Prowess Action until the start of your next turn.",1,Pull the target 1 unit after the attack.,2,The Fortitude penalty also applies to your next Prowess Reaction against it before your next turn.,Combo - Opener,"After a hit, gain 1 additional Combo. Spend 1 Combo when the target next moves before your next turn to move 1 unit with it, keeping adjacent.",COMBO LIMIT: 5
Falcon Threads the Spears,physical,2,Prowess,Blitz,Grace,Prowess,Fortitude,3,2,"Skirmishing, Reaving",any,"damage, mobility, area",,Target,Up to two enemies encountered along a path of up to 3 units.,Effect,"Move along the path; make the same attack against each target when it is within melee Weapon Range. On success, deal 1 weapon Damage.",1,Ignore difficult terrain along the path.,2,Deal +1 Damage to one hit target.,Combo - Blitz,"After resolving, spend 2 Combo to end in an empty space adjacent to either hit target without triggering movement Reactions; that space must be within 2 units.",COMBO LIMIT: 5
Avalanche Carries the Stones,physical,2,Prowess,Blitz,Might,Prowess,Fortitude,3,2,"Berserking, Brawling",any,"damage, mobility, control",,Target,One enemy within melee Weapon Range after your movement.,Effect,"Move up to 3 units in a straight line. On success, deal 2 Bludgeoning Damage and push the target 1 unit.",1,Push 1 additional unit.,2,Knock the target Prone if it ends beside an obstacle.,Combo - Blitz,"After a hit, spend 1 Combo to enter Avalanche Stance: while advancing toward an enemy, the first difficult space you enter each turn costs no extra Movement.",COMBO LIMIT: 5
Crescent Ends the Argument,physical,2,Prowess,Finisher,Grace,Prowess,Fortitude,3,2,"Dueling, Reaving",any,"damage, mobility",,Target,One enemy within melee Weapon Range.,Effect,"On success, deal 2 weapon Damage.",1,"On a hit, move 1 unit around the target without triggering its movement Reactions.",2,Deal +1 Damage if the target already took Damage since its last turn.,Combo - Finisher,"After a hit, spend 3 Combo to prevent the target from making movement Reactions until the start of your next turn and move up to 2 units away from it.",COMBO LIMIT: 5
Mountain Kneels to the River,physical,2,Prowess,Finisher,Might,Prowess,Fortitude,3,2,"Grappling, Brawling",any,"damage, control",,Target,One adjacent enemy.,Effect,"On success, deal 1 Bludgeoning Damage, move the target to an empty space within 2 units of you and knock it Prone.",1,The target may land 1 unit farther away.,2,Deal +1 Damage if it was already Prone or Slowed.,Combo - Finisher,"After a hit, spend 2 Combo to pin the target's position: until your next turn, standing from Prone costs it 2 burned dice rather than 1.",COMBO LIMIT: 5
Embers Refuse the Night,physical,2,Prowess,Finisher,Vigor,Prowess,Fortitude,3,2,"Berserking, Phalanx",any,"damage, suppression, support",,Target,One enemy within melee Weapon Range.,Effect,"On success, deal 2 weapon Damage. Suppress one Light Wound Condition's numerical penalties on yourself until the start of your next turn, even on a miss.",1,An adjacent willing ally may receive the suppression instead.,2,"On a hit, reduce your next incoming Damage by 1 until the start of your next turn.",Combo - Finisher,"After a hit, spend 2 Combo to preserve the numerical suppression through the end of your next turn. No Wound is removed or downgraded.",COMBO LIMIT: 5
Chisel Parts the Iron Gate,physical,2,Prowess,Breaker,Might,Prowess,Fortitude,3,2,"Dueling, Phalanx",any,"damage, debuff, support",,Target,One enemy within melee Weapon Range.,Effect,"On success, deal 1 weapon Damage and suppress 1 point of its equipment Fortitude bonus until the start of your next turn.",1,An adjacent willing ally ignores the target's movement Reactions until the start of your next turn.,2,Deal +1 weapon Damage.,Combo - Breaker,"After a hit, spend 2 Combo to end one ordinary defensive benefit on the target. This cannot remove a Specialty Condition, an item or a Wound.",COMBO LIMIT: 5
Serpent Unwinds the Chain,physical,2,Prowess,Breaker,Grace,Prowess,Fortitude,3,1,"Grappling, Skirmishing",any,"damage, control, support",,Target,"One adjacent enemy restraining you or a willing ally, or one enemy within melee Weapon Range.",Effect,"On success, deal 1 weapon Damage and end one ordinary restraint maintained by that target on you or an adjacent ally.",1,The freed creature may move 1 unit without triggering the target's movement Reactions.,2,"On a hit, the target is Slowed 2 until the start of your next turn.",Combo - Breaker,"After a hit, spend 1 Combo to preserve your Stance when you are next forcibly moved before your next turn, ignoring its normal movement-ending clause once.",COMBO LIMIT: 5
Nine Banners Refuse the Wind,physical,2,Prowess,Guard,Vigor,Prowess,,3,2,"Phalanx, Reaving",any,"protection, support, mobility",,Target,Self and up to two willing allies within 2 units.,Effect,Unopposed. Each target reduces its next incoming Damage by 1 until the start of your next turn.,1,Each ally may move 1 unit toward you.,2,Each protected creature also resists its next 2 units of forced movement until the start of your next turn.,Combo - Guard,Spend 2 Combo to enter Banner Stance: the first protected ally damaged before your next turn may move 1 unit into an empty space adjacent to you after the Damage.,COMBO LIMIT: 5
Broken Reed Still Holds,physical,2,Prowess,Guard,Vigor,Prowess,,3,2,"Brawling, Berserking",any,"protection, suppression",,Target,Self.,Effect,Unopposed. Suppress the numerical penalties of one non-Critical physical Wound Condition until the start of your next turn. Reduce your next incoming Damage by 1 during that time.,1,Extend only the suppression through the end of your next turn.,2,Gain +1 Fortitude until the start of your next turn.,Combo - Guard,"You may spend 1 Combo to enter Broken Reed Stance: each time you would lose Combo from a Core Wound, lose at most 1 from that entire Damage event. Injuries still apply.",COMBO LIMIT: 5
Otter Slips Beneath the Ice,physical,2,Prowess,Blitz,Grace,Prowess,Fortitude,3,1,"Skirmishing, Brawling",any,"damage, mobility",,Target,One enemy within melee Weapon Range after your movement.,Effect,"Move up to 2 units through occupied allied spaces. On success, deal 1 Bludgeoning Damage and move 1 unit after the attack.",1,"You may pass through one enemy's space during the first movement, without ending there.",2,"Until your next turn, the target cannot make movement Reactions against you on a hit.",Combo - Blitz,"After resolving, spend 1 Combo to enter Otter Stance: standing from Prone costs you no die, but still requires your turn and room to stand.",COMBO LIMIT: 5
Sight Picture,physical,0,Ballistics,Targeting,Grace,Ballistics,Fortitude,2,,,any,"damage, setup",,Target,One enemy within ranged Weapon Range.,Effect,"On success, deal 1 weapon Damage.",1,Ignore 1 point of the target's cover bonus.,2,Deal +1 weapon Damage.,Lock - Targeting,"After resolving, establish Lock on the target without burning a die if it remains visible.",LOCK LIMIT: 1
Walking Fire,physical,0,Ballistics,Suppression,Vigor,Ballistics,Fortitude,2,,,any,"damage, control",,Target,One enemy within ranged Weapon Range.,Effect,"On success, deal 1 weapon Damage. The target is Slowed 1 until the start of your next turn.",1,Increase the Slow by 1.,2,"On a hit, the target cannot make movement Reactions until the start of your next turn.",Lock - Suppression,"If the target is Locked, the first time it voluntarily moves before your next turn, you may end Lock to reduce that movement by 1 unit.",LOCK LIMIT: 1
Loose Angle,physical,0,Ballistics,Trickshot,Grace,Ballistics,Fortitude,2,,,any,"damage, mobility",,Target,One enemy within ranged Weapon Range.,Effect,"Ignore 1 point of cover bonus. On success, deal 1 weapon Damage.",1,Ignore 1 additional point of cover bonus.,2,"On a hit, push the target 1 unit sideways along a clear path.",Lock - Trickshot,"After resolving, you may move 1 unit while keeping a Locked target visible. This movement cannot pass through enemies.",LOCK LIMIT: 1
Split Lane,physical,0,Ballistics,Salvo,Grace,Ballistics,Fortitude,2,,,any,"damage, area, debuff",,Target,Up to two enemies within ranged Weapon Range and 2 units of each other.,Effect,"On success, deal 1 weapon Damage to one chosen target. The other hit target suffers -1 on its next Success Die until the start of your next turn.",1,The second target may be up to 4 units from the first.,2,Deal 1 weapon Damage to the second hit target instead of the penalty.,Lock - Salvo,"After resolving, you may transfer your existing Lock to either target you can still see.",LOCK LIMIT: 1
Close the Account,physical,0,Ballistics,Execution,Grace,Ballistics,Fortitude,2,,,any,"damage, setup",,Target,One enemy within ranged Weapon Range.,Effect,"On success, deal 1 weapon Damage.",2,Deal +1 Damage if the target already took Damage since its last turn.,1,Ignore ordinary concealment against the target.,Lock - Execution,"After a hit, you may end Lock on the target to impose -1 Fortitude against the next ranged attack that targets it before your next turn.",LOCK LIMIT: 1
Barricade Drill,physical,0,Ballistics,Suppression,Vigor,Ballistics,,2,,,any,"protection, mobility, support",,Target,Self.,Effect,"Unopposed. Move up to 1 unit into cover. Gain +1 Fortitude against ranged attacks until the start of your next turn, even if no cover is available.",1,Increase the movement by 1 unit.,2,One adjacent willing ally gains the Fortitude bonus.,Lock - Suppression,"After resolving, choose a visible creature within ranged Weapon Range. You may burn 1 die to establish Lock on it without leaving cover.",LOCK LIMIT: 1
Center Mass,physical,1,Ballistics,Targeting,Grace,Ballistics,Fortitude,2,1,"Precision, Cadence",any,"damage, setup",,Target,One enemy within ranged Weapon Range.,Effect,"On success, deal 1 weapon Damage. If you attacked this target with your previous Ballistics Action, ignore 1 point of cover bonus.",2,Deal +1 weapon Damage.,1,"On a hit, the target has -1 Fortitude against your next Ballistics Action until the start of your next turn.",Lock - Targeting,"Establish Lock after resolving. If it was already Locked, preserve that Lock through one loss of sight until the end of your next turn.",LOCK LIMIT: 1
Find the Seam,physical,1,Ballistics,Targeting,Grace,Ballistics,Fortitude,2,1,"Precision, Penetration",any,"damage, debuff, setup",,Target,One enemy within ranged Weapon Range.,Effect,"Suppress 1 point of equipment Fortitude bonus for this attack. On success, deal 1 weapon Damage.",1,Ignore 1 point of cover bonus as well.,2,"On a hit, keep the suppressed equipment bonus unavailable against the next ranged attack before your next turn.",Lock - Targeting,"After a hit on a Locked target, you may end Lock to prevent it from gaining new ordinary cover benefits against your next Ballistics Action until the start of your next turn. Solid cover still blocks targeting.",LOCK LIMIT: 1
Moving Reference,physical,1,Ballistics,Targeting,Grace,Ballistics,Fortitude,2,1,"Mobility, Trajectory",any,"damage, mobility, setup",,Target,One enemy within ranged Weapon Range after your movement.,Effect,"Move up to 2 units before rolling. On success, deal 1 weapon Damage.",1,Ignore difficult terrain during this movement.,2,Ignore cover from one low obstacle for this attack; you still need a clear path over or around it.,Lock - Targeting,"After resolving, establish Lock if you ended at least 2 units from your starting space. Otherwise retain any existing Lock.",LOCK LIMIT: 1
Keep Their Heads Down,physical,1,Ballistics,Suppression,Vigor,Ballistics,Fortitude,2,1,"Cadence, Payload",any,"damage, debuff, area",,Target,Up to two enemies within ranged Weapon Range and 2 units of each other.,Effect,"On success, each target is Distracted until the start of your next turn; choose one hit target to take 1 weapon Damage.",1,Each hit target is also Slowed 1 until the start of your next turn.,2,The next Damage dealt by one hit target's ranged Action before your next turn is reduced by 1.,Lock - Suppression,"Choose one hit target. If it is Locked, you may end Lock when it next declares a ranged Action before your next turn to impose -1 on that Action's Success Die.",LOCK LIMIT: 1
Paint the Crossing,physical,1,Ballistics,Suppression,Vigor,Ballistics,,2,1,"Trajectory, Cadence",any,"terrain, control, setup",,Target,A line of 3 connected spaces within ranged Weapon Range.,Effect,"Unopposed. Until your next turn, the line is difficult terrain for enemies that can detect you. This is suppressive fire, not a physical barrier.",1,Increase the line to 4 spaces.,2,One enemy currently in the line is Distracted until the start of your next turn; compare your Success Die to its Composure.,Lock - Suppression,"If your Locked target voluntarily crosses the line before your next turn, you may end Lock to deal 1 weapon Damage to it. This rider resolves once.",LOCK LIMIT: 1
Screening Burst,physical,1,Ballistics,Suppression,Vigor,Ballistics,,2,1,"Payload, Mobility",any,"protection, support, mobility",,Target,Self or one willing ally within 4 units.,Effect,Unopposed. The target may move 1 unit and gains +1 Fortitude against ranged attacks until the start of your next turn.,1,Increase the movement by 1 unit.,2,Protect a second willing creature within 2 units of the first.,Lock - Suppression,"While your Lock is visible, you may end it when its target attacks a protected creature before your next turn to reduce that attack's Damage by 1.",LOCK LIMIT: 1
Bank Shot,physical,1,Ballistics,Trickshot,Grace,Ballistics,Fortitude,2,1,"Trajectory, Flair",any,"damage, control",,Target,"One detected enemy within ranged Weapon Range, along a clear path around one obstacle.",Effect,"Measure range along the shot's bent path. On success, deal 1 weapon Damage. The shot cannot pass through solid material.",1,Ignore 1 point of cover bonus.,2,"On a hit, move the target 1 unit away from the final segment of the shot.",Lock - Trickshot,"After resolving, you may maintain an existing Lock along this same clear bent path until your next turn, even without direct sight.",LOCK LIMIT: 1
Sling the Hook,physical,1,Ballistics,Trickshot,Grace,Ballistics,Fortitude,2,1,"Payload, Flair",any,"damage, control, utility",,Target,"One enemy within ranged Weapon Range, or one unattended light object within 4 units.",Effect,"On success, deal 1 weapon Damage and pull the enemy 1 unit. An unattended object instead moves up to 2 units toward you without opposition.",1,Pull 1 additional unit.,2,"After hitting an enemy, you may move 1 unit toward it.",Lock - Trickshot,"After a hit on a Locked enemy, you may end Lock to prevent that enemy from pushing or pulling you until the start of your next turn.",LOCK LIMIT: 1
Dust at Their Feet,physical,1,Ballistics,Trickshot,Grace,Ballistics,Fortitude,2,1,"Mobility, Penetration",any,"damage, terrain, mobility",,Target,One enemy within ranged Weapon Range beside an exposed floor or wall.,Effect,"On success, deal 1 weapon Damage. Independently, its space provides concealment until your next turn as debris obscures the area.",1,Move 1 unit after the shot.,2,"On a hit, the target is Slowed 2 until the start of your next turn.",Lock - Trickshot,"Your Lock ignores this card's concealment. When that target leaves the obscured space, you may transfer Lock to a visible enemy still inside it.",LOCK LIMIT: 1
Two-Point Check,physical,1,Ballistics,Salvo,Grace,Ballistics,Fortitude,2,1,"Precision, Cadence",any,"damage, area, setup",,Target,Up to two enemies within ranged Weapon Range and 3 units of each other.,Effect,"On success, deal 1 weapon Damage to each target.",1,Ignore 1 point of cover bonus against one target.,2,One hit target suffers -1 Fortitude against your next Ballistics Action until the start of your next turn.,Lock - Salvo,"If you began with Lock on one target, you may transfer it to the other after resolving. If both were hit, the transfer ignores temporary concealment.",LOCK LIMIT: 1
Fan the Doorway,physical,1,Ballistics,Salvo,Vigor,Ballistics,Fortitude,2,1,"Payload, Trajectory",any,"damage, area, control",,Target,Enemies in a cone of length 3 within your ranged Weapon Range.,Effect,"On success, each target is Slowed 1 until the start of your next turn. Deal 1 weapon Damage to one hit target of your choice.",1,Increase the Slow to 2.,2,Deal 1 weapon Damage to a second hit target.,Lock - Salvo,You may end Lock on a hit target to make one empty cone space difficult terrain until your next turn; creatures cannot treat that space as cover.,LOCK LIMIT: 1
Run the Line,physical,1,Ballistics,Salvo,Grace,Ballistics,Fortitude,2,1,"Mobility, Flair",any,"damage, area, mobility",,Target,"Up to two enemies within ranged Weapon Range, checked from your firing spaces.",Effect,"Move up to 2 units, attacking one target before and one after this movement with the same roll. On success, each takes 1 weapon Damage.",1,Increase movement by 1 unit.,2,Movement from this card does not trigger movement Reactions from either target.,Lock - Salvo,"After resolving, preserve Lock through this movement even if briefly obscured, provided its target is visible at the end.",LOCK LIMIT: 1
Unfinished Business,physical,1,Ballistics,Execution,Grace,Ballistics,Fortitude,2,1,"Precision, Penetration",any,"damage, control",,Target,One enemy within ranged Weapon Range.,Effect,"On success, deal 1 weapon Damage, or 2 if that target has no cover bonus and already took Damage since its last turn.",1,Suppress 1 point of equipment Fortitude for this attack.,2,"On a hit, the target is Distracted until the start of your next turn.",Lock - Execution,"After a hit, you may end Lock on the target to prevent its next 1 unit of voluntary movement before your next turn.",LOCK LIMIT: 1
Dead End,physical,1,Ballistics,Execution,Vigor,Ballistics,Fortitude,2,1,"Cadence, Mobility",any,"damage, control, protection",,Target,One enemy within ranged Weapon Range.,Effect,"On success, deal 1 weapon Damage. If the target ends beside an obstacle, it is Slowed 2 until the start of your next turn.",1,Move 1 unit before rolling.,2,Deal +1 Damage if the target cannot move directly away from you without entering an obstacle.,Lock - Execution,"After a hit on a Locked target, you may end Lock to gain +1 Fortitude against that target until the start of your next turn.",LOCK LIMIT: 1
Curtain Call,physical,1,Ballistics,Execution,Grace,Ballistics,Fortitude,2,1,"Flair, Payload",any,"damage, control, support",,Target,One enemy within ranged Weapon Range.,Effect,"On success, deal 1 weapon Damage and push it 1 unit if it is Distracted or Slowed.",1,Increase the push by 1 unit.,2,"After a hit, yourself or one willing ally within 3 units may move 1 unit into cover.",Lock - Execution,"After a hit, you may end Lock on the target to create concealment in your space until the start of your next turn.",LOCK LIMIT: 1
Zero at Any Distance,physical,2,Ballistics,Targeting,Grace,Ballistics,Fortitude,3,2,"Precision, Mobility",any,"damage, mobility, setup",,Target,One enemy within ranged Weapon Range.,Effect,"Move up to 1 unit before rolling. On success, deal 2 weapon Damage; ignore the penalty for firing while adjacent to an enemy.",1,Increase movement by 1 unit.,2,Ignore all ordinary concealment and 1 point of cover bonus for this attack.,Lock - Targeting,"After resolving, establish Lock. If it was already Locked, the next time it approaches you before your next turn you may move 1 unit away without triggering its movement Reactions.",LOCK LIMIT: 1
