name,domain,rank,style,subtype,attr,skill,defense,min,cost,expertises,expertises_mode,tags,flavor,target_label,target_html,effect_label,effect_html,surge1_n,surge1_html,surge2_n,surge2_html,rider_title,rider_html,rider_meta
Tripwire Courtesy,mental,1,Cunning,Trap,Intellect,Cunning,,2,1,"Sabotage, Sleight",any,"terrain, damage, setup",,Target,A line of 2 adjacent empty spaces within 3 units; requires loose cord or similar material.,Effect,Unopposed. The line is difficult terrain until the start of your next turn. The trap is visible to creatures that inspect it.,1,Increase the line to 3 spaces.,2,Move 1 unit while concealing your own approach in existing cover.,Contingency - Trap,"When an enemy voluntarily crosses the line, it takes 1 Piercing Damage after crossing and becomes Exposed until your next turn. Remove the trap.",ESTABLISH: 1 PER ROUND
Pocketful of Bad Ground,mental,1,Cunning,Trap,Intellect,Cunning,Fortitude,2,1,"Improvisation, Observation",any,"damage, terrain, control",,Target,One enemy within 3 units; requires loose debris or mundane trap material.,Effect,"On success, deal 1 Piercing Damage. Independently, the target's space becomes difficult terrain until the start of your next turn.",1,An adjacent empty space also becomes difficult terrain.,2,"On a hit, the target is Slowed 2 until the start of your next turn.",Contingency - Trap,"When an enemy voluntarily leaves either prepared space, you may move 1 unit and make that creature Exposed until your next turn.",ESTABLISH: 1 PER ROUND
Use Their Commitment,mental,1,Cunning,Reversal,Acuity,Cunning,Composure,2,1,"Observation, Deception",any,"debuff, protection, control",,Target,One detected enemy within 3 units.,Effect,"On success, impose -1 on its next Success Die until the start of your next turn; you gain +1 Fortitude against that target during the same time.",1,"After a hit, move 1 unit toward or away from it.",2,"On a hit, the target becomes Exposed until the start of your next turn.",Contingency - Reversal,"When the target misses an attack before your next turn, it may either stay in place and become Slowed 2, or move 1 unit away from you; both expire at your next turn.",ESTABLISH: 1 PER ROUND
Knife in the Hinge,mental,1,Cunning,Reversal,Intellect,Cunning,Fortitude,2,1,"Sabotage, Exploitation",any,"damage, debuff, setup",,Target,One enemy within melee Weapon Range.,Effect,"On success, deal 1 weapon Damage and suppress 1 point of its equipment Fortitude against your next Cunning Action until the start of your next turn.",1,Move 1 unit around the target after the attack.,2,Suppress that point against the next attack by any creature instead.,Contingency - Reversal,"When this target gains cover before your next turn, it becomes Exposed after its movement ends.",ESTABLISH: 1 PER ROUND
Make Room for Trouble,mental,1,Cunning,Reversal,Acuity,Cunning,Fortitude,2,1,"Improvisation, Sleight",any,"damage, control, mobility",,Target,One adjacent enemy.,Effect,"On success, move the target to another empty space adjacent to you and deal 1 Bludgeoning Damage.",1,You may move 1 unit before relocating it.,2,"On a hit, knock the target Prone if it ends beside an obstacle.",Contingency - Reversal,"When an enemy attempts to pass through your vacated space, you may move 1 unit and give it -1 on its next Success Die before your next turn.",ESTABLISH: 1 PER ROUND
Too Good to Ignore,mental,1,Cunning,Gambit,Intellect,Cunning,Composure,2,1,"Deception, Exploitation",any,"debuff, setup, mobility",,Target,One detected enemy within 4 units.,Effect,"On success, the target is Distracted until the start of your next turn; you suffer -1 Fortitude against it for that duration, but gain +1 to your next Cunning Success Die against it.",1,"On a hit, the target is also Exposed until the start of your next turn.",2,You may end your own Fortitude penalty immediately after your next Cunning hit against it.,Contingency - Gambit,"When the target declares an attack against you before your next turn, you may move 2 units without triggering its movement Reactions; recheck range afterward.",ESTABLISH: 1 PER ROUND
Leave the Exit Open,mental,1,Cunning,Gambit,Intellect,Cunning,,2,1,"Infiltration, Observation",any,"mobility, information, support",,Target,Self; choose an empty visible space within 3 units.,Effect,Unopposed. Move up to 2 units toward the chosen space. Learn whether any detected enemy could currently reach that space with normal Movement.,1,Increase your movement by 1 unit.,2,One willing ally within 2 units may move 1 unit toward the chosen space.,Contingency - Gambit,"When an enemy finishes moving into the chosen space, make it Exposed and move 1 unit away from it before your next turn.",ESTABLISH: 1 PER ROUND
Collateral Leverage,mental,1,Cunning,Gambit,Intellect,Cunning,Composure,2,1,"Improvisation, Deception",any,"control, support, setup",,Target,One detected enemy within 3 units beside an unattended obstacle.,Effect,"On success, the enemy is Slowed 1 until the start of your next turn; you or a willing ally within 2 units may move 1 unit toward the obstacle.",1,Increase the Slow by 1.,2,"On a hit, impose -1 Fortitude against the next melee attack targeting iter until the start of your next turn.",Contingency - Gambit,"When the enemy attacks anyone other than you before your next turn, it becomes Exposed and loses 1 remaining unit of Movement that turn.",ESTABLISH: 1 PER ROUND
Under the Elbow,mental,1,Cunning,Evasion,Acuity,Cunning,Fortitude,2,1,"Sleight, Infiltration",any,"damage, mobility, control",,Target,One adjacent enemy.,Effect,"On success, deal 1 weapon Damage. Move up to 2 units afterward, even on a miss; hit targets cannot make movement Reactions against this movement.",1,"You may pass through the hit target's space, without stopping there.",2,"On a hit, the target is Slowed 2 until the start of your next turn.",Contingency - Evasion,"When the target next closes to within 1 unit of you, you may move 1 unit away without triggering its movement Reactions.",ESTABLISH: 1 PER ROUND
Exit Behind the Noise,mental,1,Cunning,Evasion,Intellect,Cunning,,2,1,"Sabotage, Infiltration",any,"mobility, support, setup",,Target,Self; a nearby loose object or noisy surface.,Effect,Unopposed. Create a brief mundane distraction and move up to 3 units. You can become Hidden only if you end in actual concealment and meet the normal hiding rules.,1,Ignore difficult terrain during this movement.,2,One willing ally within 2 units may move 1 unit toward cover.,Contingency - Evasion,"When an enemy leaves its cover to pursue you before your next turn, it becomes Exposed after that movement.",ESTABLISH: 1 PER ROUND
Nothing Worth Hitting,mental,1,Cunning,Evasion,Acuity,Cunning,,2,1,"Observation, Sleight",any,"protection, suppression, mobility",,Target,Self.,Effect,Unopposed. Gain +1 Fortitude against melee attacks and suppress one ordinary Slowed Condition until the start of your next turn.,1,Move 1 unit.,2,Also suppress one ordinary penalty to your Success Die until the start of your next turn.,Contingency - Evasion,"When an enemy misses a melee attack against you, move 1 unit into a space adjacent to it; that move does not trigger movement Reactions.",ESTABLISH: 1 PER ROUND
The Gap That Wasn't There,mental,2,Cunning,Ambush,Acuity,Cunning,Fortitude,3,2,"Infiltration, Deception",any,"damage, mobility",,Target,One enemy within melee Weapon Range after moving up to 1 unit.,Effect,"Move up to 1 unit through existing concealment. On success, deal 2 weapon Damage.",1,Ignore 1 point of cover bonus.,2,Deal +1 Damage if you were Hidden from the target when this Action was declared; attacking reveals you.,Contingency - Ambush,"When that target misses an Action before your next turn, you may move 2 units toward concealment without triggering its movement Reactions.",ESTABLISH: 1 PER ROUND
Inventory of Weaknesses,mental,2,Cunning,Ambush,Intellect,Cunning,Composure,3,1,"Observation, Exploitation",any,"information, setup, debuff",,Target,Up to two detected enemies within 5 units.,Effect,"On success, learn each target's lowest Defense and make each Exposed until the start of your next turn.",1,Also learn which target has more remaining Reaction Dice.,2,Each hit target suffers -1 on its next Success Die until the start of your next turn.,Contingency - Ambush,"When one chosen hit target gains an ordinary defensive benefit before your next turn, suppress 1 point of that benefit against the next attack before your next turn.",ESTABLISH: 1 PER ROUND
The Baited Landing,mental,2,Cunning,Trap,Intellect,Cunning,,3,2,"Sabotage, Observation",any,"terrain, control, damage",,Target,"A sphere of radius 1 centered within 3 units, using mundane trap material.",Effect,Unopposed. The area's empty spaces become difficult terrain until the start of your next turn. Choose one visible safe route through it that willing allies can use normally.,1,Extend the safe route 1 space beyond the area.,2,One enemy already in the area is Slowed 2 on a successful Fortitude check with this roll until the start of your next turn.,Contingency - Trap,"When an enemy voluntarily enters the area, it takes 1 Piercing Damage and is knocked Prone. This triggers once, after its entry.",ESTABLISH: 1 PER ROUND
Rigged Exchange,mental,2,Cunning,Trap,Intellect,Cunning,Fortitude,3,2,"Sleight, Improvisation",any,"damage, terrain, control",,Target,One adjacent enemy.,Effect,"On success, deal 1 weapon Damage and move the target 1 unit. Independently, leave a visible mundane snare in your vacated space if you move during this Action.",1,Move 1 unit before the attack.,2,Deal +1 Damage if the target is already Slowed or Prone.,Contingency - Trap,"When an enemy voluntarily enters your vacated space, it becomes Slowed 2 and Exposed until your next turn; remove the snare.",ESTABLISH: 1 PER ROUND
Fault in the Formation,mental,2,Cunning,Trap,Intellect,Cunning,Fortitude,3,2,"Sabotage, Exploitation",any,"area, control, setup",,Target,Up to two adjacent enemies within 3 units of you.,Effect,"On success, each target is Slowed 1 and suffers -1 Fortitude against your next Cunning Action until the start of your next turn.",1,Move one hit target 1 unit sideways.,2,Deal 1 Piercing Damage to each hit target using thrown trap material.,Contingency - Trap,"When a hit target ends adjacent to another enemy before your next turn, make both Exposed until your next turn.",ESTABLISH: 1 PER ROUND
"Your Plan, My Timing",mental,2,Cunning,Reversal,Acuity,Cunning,Composure,3,2,"Observation, Deception",any,"debuff, protection, support",,Target,One detected enemy within 4 units.,Effect,"On success, impose -2 on its next Success Die until the start of your next turn. You may move 1 unit after resolving.",1,"After a hit, the target becomes Exposed until the start of your next turn.",2,An ally within 3 units gains +1 to the targeted Defense against that enemy's next attack until the start of your next turn.,Contingency - Reversal,"When this target declares an Action against you before your next turn, you may swap places with an adjacent willing ally; that ally chooses whether to become the legal target instead.",ESTABLISH: 1 PER ROUND
Dismantle the Advantage,mental,2,Cunning,Reversal,Intellect,Cunning,Fortitude,3,2,"Sabotage, Sleight",any,"damage, debuff, setup",,Target,One enemy within melee Weapon Range.,Effect,"On success, deal 1 weapon Damage and end one ordinary defensive benefit worth at most +1 Defense or 1 Damage reduction. Equipment and Specialty Conditions remain.",1,Move a small unattended object in the target's space up to 2 units.,2,Deal +1 weapon Damage.,Contingency - Reversal,"When this target receives another ordinary defensive benefit before your next turn, it becomes Exposed after that benefit resolves.",ESTABLISH: 1 PER ROUND
Borrow the Collision,mental,2,Cunning,Reversal,Acuity,Cunning,Fortitude,3,2,"Improvisation, Exploitation",any,"damage, control, area",,Target,One adjacent enemy with an empty space adjacent to another enemy.,Effect,"On success, move the target 1 unit into the chosen empty space and deal 1 Bludgeoning Damage to it.",1,Knock the moved target Prone.,2,Also attack the second enemy with the same roll for 1 Bludgeoning Damage.,Contingency - Reversal,"When either target voluntarily moves adjacent to you before your next turn, push that creature 1 unit away and make it Exposed.",ESTABLISH: 1 PER ROUND
Double-Bluff Position,mental,2,Cunning,Gambit,Intellect,Cunning,,3,2,"Deception, Infiltration",any,"mobility, protection, setup",,Target,Self and an optional adjacent willing ally.,Effect,"Unopposed. Move up to 2 units, or swap places with the ally. Gain +1 Fortitude until the start of your next turn, but your next Cunning Action must target an enemy within 3 units or lose this benefit.",1,The ally may move 1 unit after the swap.,2,Suppress one ordinary concealment penalty on your next Cunning Action until the start of your next turn.,Contingency - Gambit,"When an enemy declares a melee attack against you before your next turn, move 1 unit and make it Exposed. Recheck its target validity afterward.",ESTABLISH: 1 PER ROUND
All Roads Lead Here,mental,2,Cunning,Gambit,Intellect,Cunning,Composure,3,2,"Observation, Improvisation",any,"control, terrain, support",,Target,One detected enemy within 5 units; choose two empty spaces within 2 units of it.,Effect,"On success, the target is Distracted until the start of your next turn. The chosen spaces become difficult terrain for that target only until the start of your next turn, representing anticipated pressure.",1,A willing ally within 3 units may move 1 unit toward either space.,2,"On a hit, the target is also Slowed 2 until the start of your next turn.",Contingency - Gambit,"When the target voluntarily avoids both marked spaces while moving before your next turn, make it Exposed and move yourself 1 unit toward either space.",ESTABLISH: 1 PER ROUND
A Person-Shaped Absence,mental,2,Cunning,Evasion,Acuity,Cunning,,3,2,"Infiltration, Sleight",any,"mobility, suppression",,Target,Self.,Effect,"Unopposed. Suppress one ordinary restraint until this movement ends, then move up to 3 units into cover or concealment. If no such destination exists, move 1 unit. The restraint resumes if its source still reaches you.",1,Increase movement by 1 unit.,2,End the suppressed restraint if it is mundane and you leave its source's reach.,Contingency - Evasion,"When an enemy enters within 1 unit of your destination, you may move 2 units farther into existing cover without triggering its movement Reactions.",ESTABLISH: 1 PER ROUND
The Prepared Escape,mental,2,Cunning,Evasion,Intellect,Cunning,,3,1,"Sabotage, Improvisation",any,"mobility, support, suppression",,Target,Self or a willing ally within 2 units beside a mundane restraint or obstacle.,Effect,Unopposed. Suppress one ordinary Movement penalty from a mundane restraint or terrain until the start of your next turn. The target may move 2 units.,1,Increase movement by 1 unit.,2,Both you and the willing ally receive the suppression and movement.,Contingency - Evasion,"When a pursuer voluntarily crosses the target's starting space, it is Slowed 2 until your next turn and cannot make movement Reactions during that move.",ESTABLISH: 1 PER ROUND
Cinder Lancet,mental,0,Magecraft,Fire,Acuity,Magecraft,Fortitude,2,,,any,"damage, information",,Target,One enemy within 5 units.,Effect,"On success, deal 1 Fire Damage.",2,Deal +1 Fire Damage.,1,"After a hit, illuminate the target's space, removing ordinary darkness there until the start of your next turn.",Fire Thread,"Gain a Fire Thread. Before rolling a later Magecraft card, consume it: one target that already took Damage since its last turn takes +1 Damage from that card if hit.",THREAD LIMIT: 3
Rill of Restraint,mental,0,Magecraft,Water,Intellect,Magecraft,Fortitude,2,,,any,"damage, control",,Target,One enemy within 4 units.,Effect,"On success, deal 1 Cold Damage and make it Slowed 1 until the start of your next turn.",1,Increase the Slow by 1.,2,"After a hit, pull the target 1 unit.",Water Thread,"Gain a Water Thread. Before rolling a later Magecraft card, consume it: suppress one ordinary Movement penalty on yourself or one willing target of that card until the start of your next turn.",THREAD LIMIT: 3
Bastion of Dust,mental,0,Magecraft,Earth,Resolve,Magecraft,,2,,,any,"terrain, protection, support",,Target,One empty space within 2 units.,Effect,"Unopposed. Create a temporary low earthen screen in the space until the start of your next turn. It grants +1 cover bonus across it, has 1 Wound and 0 Resilience, and vanishes when destroyed.",1,Create the screen in an adjacent space instead after seeing the roll.,2,A willing creature adjacent to it reduces its next incoming ranged Damage by 1 until the start of your next turn.,Earth Thread,"Gain an Earth Thread. Before rolling a later Magecraft card, consume it: yourself or one willing target of that card reduces its next incoming Damage by 1 before the start of your next turn.",THREAD LIMIT: 3
Zephyr Step,mental,0,Magecraft,Air,Acuity,Magecraft,,2,,,any,"mobility, support",,Target,Self or one willing ally within 3 units.,Effect,Unopposed. The target moves up to 2 units along a clear supported path.,1,Increase movement by 1 unit.,2,Ignore ground difficult terrain during this movement.,Air Thread,"Gain an Air Thread. Before rolling a later Magecraft card, consume it: you may move 1 unit immediately before or after that card, without triggering movement Reactions.",THREAD LIMIT: 3
Lucent Needle,mental,0,Magecraft,Light,Acuity,Magecraft,Harmony,2,,,any,"damage, information, debuff",,Target,One detected enemy within 5 units.,Effect,"On success, deal 1 Radiant Damage. The target sheds visible light in its space until the start of your next turn; this does not reveal creatures other than it.",1,Ignore ordinary darkness penalties for this attack.,2,"On a hit, the target is Distracted until the start of your next turn.",Light Thread,"Gain a Light Thread. Before rolling a later Magecraft card, consume it: ignore ordinary concealment penalties against its detected targets. This does not detect a hidden creature or bypass solid cover.",THREAD LIMIT: 3
Aegis Minor,mental,0,Magecraft,Aether,Resolve,Magecraft,,2,,,any,"protection, support",,Target,Self or one willing ally within 3 units.,Effect,Unopposed. The target reduces its next incoming Damage by 1 until the start of your next turn.,1,The target also resists its next 1 unit of forced movement until the start of your next turn.,2,Protect a second willing creature within 1 unit of the first.,Aether Thread,"Gain an Aether Thread. Before rolling a later Magecraft card, consume it: increase its Success Die by 1, to a maximum of 10. This does not generate Surges.",THREAD LIMIT: 3
Pillar of Embers,mental,1,Magecraft,Fire,Intellect,Magecraft,Fortitude,2,1,"Sculpting, Channeling",any,"damage, area, debuff",,Target,Enemies in a sphere of radius 1 centered within 5 units.,Effect,"On success, each target takes 1 Fire Damage.",1,Exclude one chosen creature from the area.,2,One hit target gains Burning until the start of your next turn.,Fire Thread,"Gain a Fire Thread. Before rolling a later Magecraft card, consume it: one target that already took Damage since its last turn takes +1 Damage from that card if hit.",THREAD LIMIT: 3
The Tempered Brand,mental,1,Magecraft,Fire,Acuity,Magecraft,Fortitude,2,1,"Augmentation, Disjunction",any,"damage, debuff, setup",,Target,One enemy within 5 units.,Effect,"On success, deal 1 Fire Damage and suppress 1 point of its next ordinary Damage reduction until the start of your next turn.",1,Your next damaging Magecraft card against that target gains +1 on its Success Die until the start of your next turn.,2,End one ordinary concealment effect on the target after a hit.,Fire Thread,"Gain a Fire Thread. Before rolling a later Magecraft card, consume it: one target that already took Damage since its last turn takes +1 Damage from that card if hit.",THREAD LIMIT: 3
Mantle of Flowing Glass,mental,1,Magecraft,Water,Resolve,Magecraft,,2,1,"Reinforcement, Transmutation",any,"protection, suppression, support",,Target,Self or one willing ally within 4 units.,Effect,Unopposed. Suppress one ordinary Slowed Condition on the target until the start of your next turn; it reduces its next incoming Fire Damage by 2 during that time.,1,The target may move 1 unit.,2,Also suppress one ordinary Burning Condition for the same duration.,Water Thread,"Gain a Water Thread. Before rolling a later Magecraft card, consume it: suppress one ordinary Movement penalty on yourself or one willing target of that card until the start of your next turn.",THREAD LIMIT: 3
Undertow Sigil,mental,1,Magecraft,Water,Intellect,Magecraft,Fortitude,2,1,"Sculpting, Channeling",any,"damage, area, control",,Target,Up to two enemies within 4 units and 2 units of each other.,Effect,"On success, pull each target 1 unit toward a visible point between them. Choose one hit target to take 1 Cold Damage.",1,Pull 1 additional unit.,2,Each hit target is Slowed 2 until the start of your next turn.,Water Thread,"Gain a Water Thread. Before rolling a later Magecraft card, consume it: suppress one ordinary Movement penalty on yourself or one willing target of that card until the start of your next turn.",THREAD LIMIT: 3
Rampart of the Second Stone,mental,1,Magecraft,Earth,Intellect,Magecraft,,2,1,"Fabrication, Reinforcement",any,"terrain, protection, support",,Target,Up to two adjacent empty spaces within 3 units.,Effect,"Unopposed. Concentration: create a connected temporary low wall. Each space grants +1 cover across it and has 1 Wound, 0 Resilience. The wall lasts while Concentration is maintained, up to 3 rounds.",1,One wall space has 2 Wounds instead of 1.,2,One willing creature adjacent to the wall reduces its next incoming Damage by 1 until the start of your next turn.,Earth Thread,"Gain an Earth Thread. Before rolling a later Magecraft card, consume it: yourself or one willing target of that card reduces its next incoming Damage by 1 before the start of your next turn.",THREAD LIMIT: 3
Lithic Grasp,mental,1,Magecraft,Earth,Intellect,Magecraft,Fortitude,2,1,"Transmutation, Disjunction",any,"damage, control, debuff",,Target,One enemy on a solid surface within 4 units.,Effect,"On success, deal 1 Bludgeoning Damage and make it Slowed 2 until the start of your next turn.",1,"On a hit, suppress 1 point of its ordinary Movement bonuses until the start of your next turn.",2,"After a hit, end one ordinary effect allowing that target to ignore difficult terrain.",Earth Thread,"Gain an Earth Thread. Before rolling a later Magecraft card, consume it: yourself or one willing target of that card reduces its next incoming Damage by 1 before the start of your next turn.",THREAD LIMIT: 3
Vector of the Wandering Gale,mental,1,Magecraft,Air,Acuity,Magecraft,Fortitude,2,1,"Sculpting, Augmentation",any,"control, mobility, support",,Target,One enemy or willing ally within 4 units.,Effect,"On success, push an enemy 2 units. A willing ally instead moves 2 units without opposition. The movement cannot pass through solid barriers.",1,Increase movement by 1 unit.,2,Move the target horizontally in any direction instead of directly away; a willing ally also gains +1 Fortitude until the start of your next turn.,Air Thread,"Gain an Air Thread. Before rolling a later Magecraft card, consume it: you may move 1 unit immediately before or after that card, without triggering movement Reactions.",THREAD LIMIT: 3
Borrowed Moment,mental,1,Magecraft,Time,Resolve,Magecraft,,2,1,"Augmentation, Reinforcement",any,"support, suppression, protection",,Target,Self or one willing ally within 4 units.,Effect,"Unopposed. Until your next turn, the target may ignore one ordinary penalty to a Success Die when it next uses a Combat Card. This grants no Action or extra die.",1,The target also ignores difficult terrain during its next 1 unit of movement until the start of your next turn.,2,The target gains +1 Composure until the start of your next turn.,Time Thread,"Gain a Time Thread. Before rolling a later Magecraft card, consume it: one non-damaging benefit of that card ending at the start of your next turn instead ends at the end of that turn.",THREAD LIMIT: 3
Gravitic Inclination,mental,1,Magecraft,Space,Intellect,Magecraft,Fortitude,2,1,"Sculpting, Channeling",any,"damage, control",,Target,One enemy within 5 units.,Effect,"On success, deal 1 Force Damage and pull it 1 unit toward a visible point within 2 units of it.",1,Pull 1 additional unit.,2,Deal +1 Force Damage if the target ends adjacent to a solid obstacle.,Space Thread,"Gain a Space Thread. Before rolling a later Magecraft card, consume it: choose a visible empty space within 2 units as its origin. Measure its Range and area from that space.",THREAD LIMIT: 3
Folded Interval,mental,1,Magecraft,Space,Intellect,Magecraft,,2,1,"Fabrication, Transmutation",any,"mobility, suppression, support",,Target,Self or one willing ally within 3 units.,Effect,Unopposed. Move the target to a visible empty supported space within 2 units of its current space. It must have an unobstructed path to the destination; this movement does not trigger movement Reactions.,1,Increase the displacement by 1 unit.,2,An ordinary restraint is suppressed during this movement; it resumes if its source still reaches the destination.,Space Thread,"Gain a Space Thread. Before rolling a later Magecraft card, consume it: choose a visible empty space within 2 units as its origin. Measure its Range and area from that space.",THREAD LIMIT: 3
Prism of Disclosure,mental,1,Magecraft,Light,Acuity,Magecraft,Harmony,2,1,"Disjunction, Sculpting",any,"damage, information, area",,Target,Up to two detected enemies within 5 units and 2 units of each other.,Effect,"On success, each sheds light and cannot benefit from ordinary visual concealment until the start of your next turn. Choose one hit target to take 1 Radiant Damage.",1,Increase separation between targets to 4 units.,2,"End one ordinary visual illusion covering a hit target's location, but not a Specialty effect.",Light Thread,"Gain a Light Thread. Before rolling a later Magecraft card, consume it: ignore ordinary concealment penalties against its detected targets. This does not detect a hidden creature or bypass solid cover.",THREAD LIMIT: 3
Vesper Curtain,mental,1,Magecraft,Shadow,Intellect,Magecraft,,2,1,"Fabrication, Reinforcement",any,"terrain, protection, support",,Target,A line of 3 connected spaces within 4 units.,Effect,"Unopposed. Concentration: fill the line with a temporary shadow curtain that provides concealment, not solid cover, for up to 3 rounds.",1,Bend the line once.,2,Yourself or one willing ally within 3 units gains +1 Composure against sensory effects until the start of your next turn.,Shadow Thread,"Gain a Shadow Thread. Before rolling a later Magecraft card, consume it: after resolving, choose two adjacent spaces within 3 units; they provide concealment until the start of your next turn.",THREAD LIMIT: 3
Seal of Unmaking,mental,1,Magecraft,Aether,Resolve,Magecraft,Harmony,2,1,"Disjunction, Channeling",any,"damage, debuff, utility",,Target,One enemy or its visible ordinary magical effect within 4 units.,Effect,"On success, deal 1 Arcane Damage to the enemy and suppress one ordinary magical numerical bonus worth 1 until the start of your next turn. An unattended ordinary effect may be targeted against Difficulty 6 instead.",1,Also suppress 1 point of magical Movement bonus on a hit.,2,End the chosen ordinary bonus rather than suppressing it. Specialty Conditions are unaffected.,Aether Thread,"Gain an Aether Thread. Before rolling a later Magecraft card, consume it: increase its Success Die by 1, to a maximum of 10. This does not generate Surges.",THREAD LIMIT: 3
Prismatic Dislocation,mental,1,Magecraft,Chaos,Intellect,Magecraft,Fortitude,2,1,"Transmutation, Sculpting",any,"damage, control, debuff",,Target,One enemy within 4 units.,Effect,"Choose Acid, Cold or Lightning when declaring. On success, deal 1 Damage of that type and move the target 1 unit sideways.",1,Move the target 1 additional unit.,2,The target is Distracted until the start of your next turn after a hit.,Chaos Thread,"Gain a Chaos Thread. Before rolling a later Magecraft card, consume it: change its Damage type to Fire, Cold, Lightning, Acid, Force or Arcane. Conditions do not change.",THREAD LIMIT: 3
