name,domain,rank,style,subtype,attr,skill,defense,min,cost,expertises,expertises_mode,tags,flavor,target_label,target_html,effect_label,effect_html,surge1_n,surge1_html,surge2_n,surge2_html,rider_title,rider_html,rider_meta
A Line Worth Holding,spiritual,1,Leadership,Standard,Anima,Leadership,,2,1,"Guardianship, Discipline",any,"protection, suppression, support",,Target,One visible space within 2 units; yourself or a willing ally adjacent to it.,Effect,"Unopposed. Mark the space until the start of your next turn. While adjacent to it, the target gains +1 Fortitude and resists its next 1 unit of forced movement.",1,Choose a second willing creature adjacent to the point.,2,Suppress one Light Wound Condition's numerical penalties on a protected target until the start of your next turn.,Authority - Standard,Spend this Authority when a protected creature remains beside the point after taking Damage: it becomes Rallied until your next turn; the Damage and Wounds still apply.,AUTHORITY CAP: 1 AT R0-R2
Show Them the Way Out,spiritual,1,Leadership,Standard,Adaptability,Leadership,,2,1,"Tactics, Inspiration",any,"terrain, mobility, support",,Target,A visible line of 3 spaces beginning within 2 units.,Effect,Unopposed. Mark a route until the start of your next turn. Willing creatures moving along it ignore the first difficult space of that movement; you may move 1 unit along it immediately.,1,Lengthen the route by 1 space.,2,One willing creature within 2 units of the route becomes Rallied until the start of your next turn.,Authority - Standard,Spend this Authority when an enemy declares a ranged Action at a creature on the route before your next turn: that target gains +1 Fortitude against the Action.,AUTHORITY CAP: 1 AT R0-R2
Not One Step Back,spiritual,1,Leadership,Vow,Anima,Leadership,,2,1,"Valor, Discipline",any,"protection, suppression, setup",,Target,Self.,Effect,Unopposed. Gain +1 Fortitude and resist your next 2 units of forced movement until the start of your next turn.,1,Become Rallied until the start of your next turn.,2,Suppress one Light Wound Condition's numerical penalties until the start of your next turn.,Authority - Vow,Vow: do not voluntarily move farther from a chosen visible enemy before your next turn. Spend this Authority when it damages you to reduce that Damage by 1; retreating first discards it.,AUTHORITY CAP: 1 AT R0-R2
Answer to Me,spiritual,1,Leadership,Vow,Presence,Leadership,Composure,2,1,"Provocation, Guardianship",any,"protection, debuff, support",,Target,One detected enemy within 4 units.,Effect,"On success, the enemy has -1 on its next Success Die against an ally other than you until the start of your next turn. Independently, reduce your next incoming Damage from that enemy by 1 until the start of your next turn.",1,Move 1 unit toward the enemy.,2,"On a hit, it becomes Distracted until the start of your next turn.",Authority - Vow,Vow: remain within 3 units of the enemy until your next turn. Spend this Authority when it attacks an ally to give that ally +1 to the targeted Defense; leaving voluntarily discards it.,AUTHORITY CAP: 1 AT R0-R2
We Are Not Finished,spiritual,1,Leadership,Vow,Anima,Leadership,,2,1,"Inspiration, Valor",any,"suppression, support, mobility",,Target,Self or one willing ally within 3 units.,Effect,Unopposed. Suppress one Light Wound Condition's numerical penalties and one ordinary morale-based Success Die penalty until the start of your next turn. No injury changes.,1,Extend only the Wound suppression through the end of your next turn.,2,The target becomes Rallied until the start of your next turn.,Authority - Vow,Vow: do not voluntarily leave the target more than 3 units away before your next turn. Spend this Authority when it is damaged to let it move 1 unit afterward; breaking the Vow discards it.,AUTHORITY CAP: 1 AT R0-R2
Follow My Strike,spiritual,1,Leadership,Example,Presence,Leadership,Fortitude,2,1,"Valor, Coordination",any,"damage, setup, support",,Target,One enemy within melee Weapon Range.,Effect,"On success, deal 1 weapon Damage. Yourself or one adjacent willing ally becomes Rallied until the start of your next turn.",1,The Rallied creature may move 1 unit toward the target.,2,Deal +1 weapon Damage.,Authority - Example,Spend this Authority when a Rallied creature within 3 units consumes Rallied on an attack against this target: ignore 1 point of the target's cover bonus for that attack.,AUTHORITY CAP: 1 AT R0-R2
Watch Their Hands,spiritual,1,Leadership,Example,Adaptability,Leadership,Fortitude,2,1,"Tactics, Guardianship",any,"damage, debuff, support",,Target,One enemy within melee Weapon Range.,Effect,"On success, deal 1 weapon Damage and give the target -1 on its next melee Success Die until the start of your next turn.",1,An adjacent willing ally gains +1 Fortitude against the target until the start of your next turn.,2,Suppress 1 point of the target's ordinary attack bonuses on its next melee Action until the start of your next turn.,Authority - Example,"Spend this Authority when the target misses a melee attack before your next turn: the intended victim may move 1 unit toward you, including yourself moving 1 unit.",AUTHORITY CAP: 1 AT R0-R2
Give Them No Room,spiritual,1,Leadership,Example,Presence,Leadership,Fortitude,2,1,"Provocation, Valor",any,"damage, control, protection",,Target,One enemy within melee Weapon Range.,Effect,"On success, deal 1 weapon Damage and push it 1 unit away from a chosen willing creature, which may be you.",1,Increase the push by 1 unit.,2,The target is Slowed 2 until the start of your next turn on a hit.,Authority - Example,Spend this Authority when the target next approaches the chosen creature before your next turn: that creature gains +1 Fortitude against the target's next attack.,AUTHORITY CAP: 1 AT R0-R2
Advance on My Mark,spiritual,2,Leadership,Order,Presence,Leadership,Fortitude,3,2,"Tactics, Coordination",any,"damage, support, mobility",,Target,One enemy within melee Weapon Range; up to two willing allies within 3 units.,Effect,"On success, deal 2 weapon Damage. Independently, each chosen ally may move 1 unit toward you or the enemy; alone, you may move 1 unit.",1,Increase one creature's movement by 1 unit.,2,"After a hit, one moved creature becomes Rallied until the start of your next turn.",Authority - Order,Spend this Authority when one moved creature begins its next Action before your next turn: it ignores one ordinary -1 Success Die penalty for that Action.,AUTHORITY CAP: 1 AT R0-R2
Break Their Rhythm,spiritual,2,Leadership,Order,Presence,Leadership,Composure,3,2,"Provocation, Discipline",any,"area, debuff, control",,Target,Up to two detected enemies within 5 units and 2 units of each other.,Effect,"On success, each target is Distracted and Slowed 1 until the start of your next turn.",1,Increase the Slow on one hit target to 2.,2,Each hit target has -1 Composure against the next attack it receives until the start of your next turn.,Authority - Order,Spend this Authority when one hit enemy misses an Action before your next turn: you or a willing ally within 3 units may move 2 units afterward.,AUTHORITY CAP: 1 AT R0-R2
Keep the Wounded Moving,spiritual,2,Leadership,Order,Anima,Leadership,,3,2,"Inspiration, Guardianship",any,"suppression, support, protection",,Target,Self or one willing ally within 4 units.,Effect,Unopposed. Suppress one non-Critical Wound Condition's numerical penalties until the start of your next turn; the target may move 2 units and reduces its next incoming Damage by 1 during that time.,1,Extend only the suppression through the end of your next turn.,2,"One additional willing creature within 2 units receives the movement and Damage protection, not the Wound suppression.",Authority - Order,Spend this Authority when the protected creature is targeted before your next turn: it gains +1 to the targeted Defense against that attack.,AUTHORITY CAP: 1 AT R0-R2
A Moving Fortress,spiritual,2,Leadership,Formation,Anima,Leadership,,3,2,"Guardianship, Coordination",any,"protection, support, mobility",,Target,Self and up to two willing allies within 2 units.,Effect,"Unopposed. Each target reduces its next incoming Damage by 1 until the start of your next turn and may move 1 unit toward another protected creature; alone, move 1 unit freely.",1,Each target also resists its next 2 units of forced movement until the start of your next turn.,2,One target reduces its incoming Damage by 1 more.,Authority - Formation,"Spend this Authority when two protected creatures would be separated by forced movement before your next turn: one may follow the other 2 units. Alone, resist 2 units of that movement instead.",AUTHORITY CAP: 1 AT R0-R2
Wheel Around the Threat,spiritual,2,Leadership,Formation,Adaptability,Leadership,Fortitude,3,2,"Tactics, Coordination",any,"damage, control, support",,Target,One enemy within melee Weapon Range.,Effect,"On success, deal 1 weapon Damage and move it 1 unit sideways. After resolving, you and one adjacent willing ally may each move 1 unit around it.",1,The moved creatures ignore the target's movement Reactions for this movement.,2,Deal +1 weapon Damage.,Authority - Formation,Spend this Authority when you or the ally next attacks the target from a different space before your next turn: ignore 1 point of its equipment Fortitude for that attack.,AUTHORITY CAP: 1 AT R0-R2
The Banner Does Not Fall,spiritual,2,Leadership,Standard,Anima,Leadership,,3,2,"Discipline, Inspiration",any,"setup, suppression, support",,Target,One space within 3 units; up to three willing creatures within 1 unit of it.,Effect,Unopposed. Mark the point until the start of your next turn. Each target becomes Rallied and suppresses one ordinary morale-based Success Die penalty while within 1 unit of it.,1,One target may move 2 units toward the point.,2,Each target reduces its next incoming Damage by 1 while beside the point until the start of your next turn.,Authority - Standard,Spend this Authority when one marked target would lose Rallied from a Core Wound before your next turn: preserve Rallied until its original expiration; the Wound still applies.,AUTHORITY CAP: 1 AT R0-R2
A Place to Regroup,spiritual,2,Leadership,Standard,Adaptability,Leadership,,3,2,"Guardianship, Tactics",any,"protection, mobility, support",,Target,One space within 4 units; yourself or up to two willing allies within 2 units of it.,Effect,Unopposed. Mark the space until the start of your next turn. Each chosen target may move 2 units toward it and gains +1 Fortitude against ranged attacks while adjacent to it.,1,One target ignores difficult terrain during this movement.,2,One target suppresses a Light Wound Condition's numerical penalties while beside the point until the start of your next turn.,Authority - Standard,Spend this Authority when a willing creature leaves the rally point before your next turn: it keeps the ranged Fortitude bonus until that movement ends.,AUTHORITY CAP: 1 AT R0-R2
You Will Have to Move Me,spiritual,2,Leadership,Vow,Presence,Leadership,Composure,3,2,"Provocation, Valor",any,"protection, debuff, support",,Target,One detected enemy within 4 units.,Effect,"On success, the target is Distracted until the start of your next turn. Independently, you gain +1 Fortitude and reduce the next Damage from that target by 1 until the start of your next turn.",1,Move 1 unit toward the target.,2,"On a hit, the target cannot make movement Reactions against your allies until the start of your next turn.",Authority - Vow,Vow: do not voluntarily leave your current space before your next turn. Spend this Authority when the target damages you to make yourself Rallied; leaving first discards it.,AUTHORITY CAP: 1 AT R0-R2
Pain Is Not Permission,spiritual,2,Leadership,Vow,Anima,Leadership,,3,2,"Discipline, Guardianship",any,"suppression, protection, support",,Target,Self or one willing ally within 3 units.,Effect,Unopposed. Suppress one non-Critical Wound Condition's numerical penalties until the start of your next turn; grant +1 Composure against pain and hostile influence for that duration.,1,Extend suppression through the end of your next turn.,2,The target reduces its next incoming Damage by 1 until the start of your next turn.,Authority - Vow,Vow: neither you nor the target voluntarily moves farther from the other before your next turn. Spend this Authority when the target is pushed to resist 2 units; breaking the Vow discards it.,AUTHORITY CAP: 1 AT R0-R2
This Is How We Break Through,spiritual,2,Leadership,Example,Presence,Leadership,Fortitude,3,2,"Valor, Tactics",any,"damage, control, setup",,Target,One enemy within melee Weapon Range.,Effect,"On success, deal 2 weapon Damage and push it 1 unit.",1,Move into its vacated space after a hit.,2,"On a hit, suppress 1 point of its equipment Fortitude against the next attack until the start of your next turn.",Authority - Example,Spend this Authority when you or an ally within 3 units crosses the target's former space before your next turn: that creature becomes Rallied.,AUTHORITY CAP: 1 AT R0-R2
Every Step Together,spiritual,2,Leadership,Example,Adaptability,Leadership,Fortitude,3,2,"Coordination, Inspiration",any,"damage, support, mobility",,Target,One enemy within melee Weapon Range.,Effect,"On success, deal 1 weapon Damage. After resolving, you and one willing ally within 2 units each move up to 2 units; alone, move 2 units.",1,One moved creature may ignore movement Reactions from the target.,2,Deal +1 weapon Damage.,Authority - Example,"Spend this Authority when one moved creature is next missed before your next turn: it becomes Rallied and may move 1 unit toward the other; alone, any direction.",AUTHORITY CAP: 1 AT R0-R2
Make Their Courage Expensive,spiritual,2,Leadership,Example,Presence,Leadership,Fortitude,3,2,"Provocation, Valor",any,"damage, debuff, setup",,Target,One enemy within melee Weapon Range.,Effect,"On success, deal 2 weapon Damage. The target suffers -1 on its next Success Die against a creature other than you until the start of your next turn.",1,"On a hit, the target is Slowed 1 until the start of your next turn.",2,Gain +1 Fortitude against the target until the start of your next turn.,Authority - Example,"Spend this Authority when the target attacks an ally before your next turn: after its attack, move 1 unit toward it and make yourself Rallied.",AUTHORITY CAP: 1 AT R0-R2
The Chalk Threshold,spiritual,0,Ritualism,Ward,Adaptability,Ritualism,,2,,,any,"protection, support, mobility",,Target,Self or one willing ally within 2 units.,Effect,Unopposed. The target reduces its next incoming Damage by 1 until the start of your next turn.,1,The target resists its next 1 unit of forced movement until the start of your next turn.,2,The target gains +1 Harmony against the next attack targeting it until the start of your next turn.,Rite - Ward,"Rite, 1 Echo: bind the target. Trigger: an enemy finishes voluntary movement adjacent to it. Echo: the protected creature may move 1 unit away without triggering that enemy's movement Reactions.",ECHO LIMIT: 1; RITE LIMIT: 3
The Thorn Beneath the Cup,spiritual,0,Ritualism,Hex,Anima,Ritualism,Harmony,2,,,any,"damage, debuff, control",,Target,One enemy within 4 units.,Effect,"On success, deal 1 Necrotic Damage.",2,Deal +1 Necrotic Damage.,1,"On a hit, the target is Slowed 1 until the start of your next turn.",Rite - Hex,"Rite, 1 Echo: on a hit, the target becomes Possessed. Trigger: it voluntarily moves at least 2 units in one movement. Echo: it is Distracted until your next turn.",ECHO LIMIT: 1; RITE LIMIT: 3
The Unblinking Eye,spiritual,0,Ritualism,Divination,Adaptability,Ritualism,Harmony,2,,,any,"information, setup, protection",,Target,One detected enemy within 4 units.,Effect,"On success, learn its lowest Defense and reveal its occupied space through ordinary concealment until the start of your next turn.",1,Also learn its highest Defense.,2,"On a hit, it suffers -1 Harmony against your next Ritualism card until the start of your next turn.",Rite - Divination,"Rite, 1 Echo: on a hit, bind the target. Trigger: it starts an Action. Echo: you or a willing ally within 2 units gains +1 to the targeted Defense against that Action.",ECHO LIMIT: 1; RITE LIMIT: 3
The Coin Beneath the Tongue,spiritual,0,Ritualism,Imbuement,Anima,Ritualism,,2,,,any,"support, control, protection",,Target,Self or one willing ally within 3 units.,Effect,Unopposed. The target's next successful attack before your next turn may push one damaged enemy 1 unit.,1,The target may move 1 unit after the push.,2,The target reduces its next incoming Damage by 1 until the start of your next turn.,Rite - Imbuement,"Rite, 1 Echo: bind the target. Trigger: it ends voluntary movement beside a hostile creature. Echo: it gains +1 Harmony against the next attack targeting it before your next turn.",ECHO LIMIT: 1; RITE LIMIT: 3
Ash in the Empty Bowl,spiritual,0,Ritualism,Offering,Anima,Ritualism,Harmony,2,,,any,"damage, debuff, control",,Target,One enemy within 4 units.,Effect,"Burn 1 additional Action Die before rolling. On success, deal 1 Necrotic Damage and impose -1 on its next Success Die until the start of your next turn.",1,"On a hit, move 1 unit away from the target.",2,Deal +1 Necrotic Damage.,Rite - Offering,"Rite, 1 Echo: on a hit, the target becomes Possessed. Trigger: it misses an Action. Echo: it is Slowed 2 until your next turn.",ECHO LIMIT: 1; RITE LIMIT: 3
The Hanged Foot,spiritual,0,Ritualism,Hex,Adaptability,Ritualism,Harmony,2,,,any,"control, setup, damage",,Target,One enemy within 4 units.,Effect,"On success, the target is Slowed 2 until the start of your next turn.",1,"On a hit, move the target 1 unit sideways.",2,Deal 1 Necrotic Damage on a hit.,Rite - Hex,"Rite, 1 Echo: on a hit, bind the target. Trigger: it is forcibly moved by a later Action. Echo: suppress 1 point of its ordinary Fortitude bonuses against the next attack before your next turn.",ECHO LIMIT: 1; RITE LIMIT: 3
The Emperor's Closed Gate,spiritual,1,Ritualism,Ward,Anima,Ritualism,,2,1,"Consecration, Inscription",any,"terrain, protection, support",,Target,One empty space within 3 units.,Effect,Unopposed. Mark the space until the start of your next turn. A willing creature standing there gains +1 Fortitude and resists its next 1 unit of forced movement while it remains there.,1,An adjacent empty space gains the same mark.,2,One willing creature on a mark reduces its next incoming Damage by 1 until the start of your next turn.,Rite - Ward,"Rite, 2 Echoes: anchor one marked space. Trigger: a willing occupant would be pushed or pulled. Echo: reduce that movement by 1 unit.",ECHO LIMIT: 2; RITE LIMIT: 3
The Lantern at the Window,spiritual,1,Ritualism,Ward,Adaptability,Ritualism,,2,1,"Reagents, Liturgy",any,"protection, suppression, support",,Target,Self or one willing ally within 4 units.,Effect,"Unopposed. The target reduces its next incoming Psychic, Arcane, Radiant or Necrotic Damage by 1 until the start of your next turn; its space sheds ordinary light during that time.",1,It gains +1 Harmony against the next attack targeting it until the start of your next turn.,2,Suppress one ordinary magical distraction penalty on it until the start of your next turn.,Rite - Ward,"Rite, 2 Echoes: bind the target. Trigger: a detected enemy within 3 units uses an Action imposing a mental Condition on it. Echo: grant +1 Composure against that Action before its roll.",ECHO LIMIT: 2; RITE LIMIT: 3
The Salt That Remembers,spiritual,1,Ritualism,Ward,Anima,Ritualism,,2,1,"Severance, Sympathy",any,"suppression, protection, support",,Target,Self or one willing ally within 3 units.,Effect,Unopposed. Suppress one ordinary magical Movement penalty until the start of your next turn; the target reduces its next incoming forced movement by 2 units.,1,The target may move 1 unit.,2,Also suppress one ordinary magical sensory penalty for the same duration.,Rite - Ward,"Rite, 2 Echoes: bind the target. Trigger: it is targeted by the source of the suppressed Condition. Echo: gain +1 to the targeted Defense against that Action.",ECHO LIMIT: 2; RITE LIMIT: 3
The Nine of Needles,spiritual,1,Ritualism,Hex,Anima,Ritualism,Harmony,2,1,"Inscription, Sympathy",any,"damage, control",,Target,One enemy within 5 units.,Effect,"On success, deal 1 Necrotic Damage and make the target Slowed 1 until the start of your next turn.",1,Increase the Slow by 1.,2,"On a hit, it suffers -1 Harmony against the next attack targeting it until the start of your next turn.",Rite - Hex,"Rite, 2 Echoes: on a hit, the target becomes Possessed. Trigger: it voluntarily moves at least 2 units in one movement. Echo: deal 1 Necrotic Damage.",ECHO LIMIT: 2; RITE LIMIT: 3
The Cup of Bitter Answers,spiritual,1,Ritualism,Hex,Adaptability,Ritualism,Harmony,2,1,"Reagents, Entreaty",any,"damage, debuff, setup",,Target,One enemy within 4 units.,Effect,"On success, deal 1 Necrotic Damage and suppress 1 point of its ordinary accuracy bonuses until the start of your next turn.",1,"On a hit, its next forced movement is increased by 1 unit until the start of your next turn.",2,"On a hit, it is Distracted until the start of your next turn.",Rite - Hex,"Rite, 2 Echoes: on a hit, the target becomes Possessed. Trigger: it misses an Action. Echo: impose -1 Composure against the next attack before your next turn.",ECHO LIMIT: 2; RITE LIMIT: 3
The Knot in the Prayer,spiritual,1,Ritualism,Hex,Anima,Ritualism,Harmony,2,1,"Severance, Liturgy",any,"damage, debuff",,Target,One enemy within 5 units.,Effect,"On success, deal 1 Necrotic Damage and suppress one ordinary magical Movement bonus, up to 1 unit, until the start of your next turn.",1,Also suppress 1 point of ordinary concealment benefit on it until the start of your next turn.,2,"On a hit, end the chosen Movement bonus rather than suppress it.",Rite - Hex,"Rite, 2 Echoes: on a hit, bind the target. Trigger: it receives an ordinary beneficial magical effect. Echo: impose -1 on its next Success Die before your next turn.",ECHO LIMIT: 2; RITE LIMIT: 3
The Page Who Saw Tomorrow,spiritual,1,Ritualism,Divination,Adaptability,Ritualism,Harmony,2,1,"Entreaty, Sympathy",any,"information, protection, support",,Target,One detected enemy within 5 units.,Effect,"On success, learn its remaining Reaction Dice and lowest Defense. You gain +1 Harmony against it until the start of your next turn.",1,Share the defensive benefit with one willing ally within 3 units.,2,"On a hit, impose -1 on its next Success Die until the start of your next turn.",Rite - Divination,"Rite, 2 Echoes: on a hit, bind the target. Trigger: it declares an Action with at least 3 rolled dice. Echo: yourself or a willing ally within 3 units may move 1 unit before its roll.",ECHO LIMIT: 2; RITE LIMIT: 3
The Mirror Beneath the Veil,spiritual,1,Ritualism,Divination,Adaptability,Ritualism,,2,1,"Inscription, Severance",any,"information, terrain, suppression",,Target,One visible point within 5 units.,Effect,"Unopposed. Until your next turn, perceive ordinary concealment sources within 2 units of the point and identify whether they are mundane or magical; hidden creatures are not automatically detected.",1,Increase radius by 1 unit.,2,Suppress one ordinary visual impairment on yourself until the start of your next turn.,Rite - Divination,"Rite, 2 Echoes: anchor the point. Trigger: an enemy enters within 1 unit. Echo: reveal its occupied space through ordinary concealment until your next turn; solid barriers still block awareness.",ECHO LIMIT: 2; RITE LIMIT: 3
The Wheel Pauses,spiritual,1,Ritualism,Divination,Anima,Ritualism,,2,1,"Liturgy, Consecration",any,"protection, information, support",,Target,Self or one willing ally within 3 units.,Effect,Unopposed. The target gains +1 to the targeted Defense against the next attack targeting it until the start of your next turn and may move 1 unit toward a visible empty space.,1,Increase movement by 1 unit.,2,Suppress one ordinary distraction penalty on the target's next Combat Card until the start of your next turn.,Rite - Divination,"Rite, 2 Echoes: bind the target. Trigger: it misses a Combat Card. Echo: reveal the defending creature's lowest Defense, then the protected target may move 1 unit.",ECHO LIMIT: 2; RITE LIMIT: 3
The Sun Bound in Copper,spiritual,1,Ritualism,Imbuement,Anima,Ritualism,,2,1,"Reagents, Inscription",any,"support, setup, information",,Target,Self or one willing ally within 4 units.,Effect,"Unopposed. The target's next successful attack before your next turn ignores 1 point of ordinary Damage reduction, but not Resilience or Temporary Wounds.",1,It ignores 1 point of cover bonus for that attack.,2,Its first hit enemy sheds light and loses ordinary darkness concealment until the start of your next turn.,Rite - Imbuement,"Rite, 2 Echoes: bind the target. Trigger: it hits an enemy in concealment. Echo: illuminate that enemy's space and reveal its location until your next turn.",ECHO LIMIT: 2; RITE LIMIT: 3
The Chariot's Second Rein,spiritual,1,Ritualism,Imbuement,Adaptability,Ritualism,,2,1,"Consecration, Sympathy",any,"mobility, protection, support",,Target,Self or one willing ally within 4 units.,Effect,Unopposed. The target moves up to 2 units and resists its next 1 unit of forced movement until the start of your next turn.,1,Increase movement by 1 unit.,2,The target ignores difficult terrain during the movement.,Rite - Imbuement,"Rite, 2 Echoes: bind the target. Trigger: it ends voluntary movement adjacent to a willing ally or a solid obstacle. Echo: gain +1 Fortitude against the next attack targeting it before your next turn.",ECHO LIMIT: 2; RITE LIMIT: 3
