name,domain,rank,style,subtype,attr,skill,defense,min,cost,expertises,expertises_mode,tags,flavor,target_label,target_html,effect_label,effect_html,surge1_n,surge1_html,surge2_n,surge2_html,rider_title,rider_html,rider_meta
A Better Place to Be,mental,2,Cunning,Evasion,Intellect,Cunning,,3,2,"Deception, Sleight",any,"protection, mobility, support",,Target,Self or an adjacent willing ally.,Effect,"Trigger: An area Action is declared including the target. Response (unopposed): Move the target up to 2 units along a clear path, then recheck whether it remains in the area.",1,Ignore difficult terrain during this movement.,2,"If still affected, reduce the Action's Damage to the target by 1.",,,
Lateral Fold,mental,0,Magecraft,Space,Intellect,Magecraft,,2,,,any,"protection, mobility",,Target,Self.,Effect,"Trigger: An Action or Reaction targets you, before rolling. Response (unopposed): Move 1 unit along a clear path; gain +1 Fortitude against that Action. Recheck target validity afterward.",1,Ignore difficult terrain during that movement.,2,"Move 1 additional unit, ending in a supported space.",,,
Penumbra Intercession,mental,0,Magecraft,Shadow,Resolve,Magecraft,,2,,,any,"protection, suppression, terrain",,Target,Self.,Effect,Trigger: A detected enemy's Action would deal Damage to you. Response (unopposed): Reduce that Damage by 1.,1,"After the Action, your space provides concealment until the start of your next turn.",2,Suppress one ordinary visual impairment imposed by that Action until the start of your next turn.,,,
Cauterized Vector,mental,1,Magecraft,Fire,Acuity,Magecraft,Fortitude,2,1,"Channeling, Disjunction",any,"damage, debuff, counterattack",,Target,One enemy within 4 units.,Effect,"Trigger: The enemy misses you with a ranged Action. Response: On success, deal 1 Fire Damage and illuminate its space until the start of your next turn.",1,Ignore ordinary concealment for this attack.,2,Suppress 1 point of its next ordinary magical Damage reduction until the start of your next turn.,,,
Liquid Rebuttal,mental,1,Magecraft,Water,Resolve,Magecraft,,2,1,"Transmutation, Reinforcement",any,"protection, support, mobility",,Target,Self or one willing ally within 3 units.,Effect,"Trigger: An Action or Reaction would push, pull or knock the target Prone. Response (unopposed): Reduce forced movement by 2 units and suppress that Prone effect until the Action finishes.",1,The protected creature may move 1 unit after the Action.,2,Reduce Damage from that Action by 1.,,,
Windward Answer,mental,1,Magecraft,Air,Acuity,Magecraft,,2,1,"Sculpting, Augmentation",any,"protection, support, mobility",,Target,Self or one willing ally within 3 units.,Effect,"Trigger: A ranged physical Action targets the creature, before rolling. Response (unopposed): Grant +1 Fortitude against that attack and move the creature 1 unit.",1,Increase movement by 1 unit along a supported path.,2,"If the attack still hits, reduce its Damage by 1.",,,
An Instant Held Open,mental,1,Magecraft,Time,Resolve,Magecraft,,2,1,"Augmentation, Channeling",any,"support, setup, mobility",,Target,Self or one willing ally within 4 units.,Effect,"Trigger: The target rolls a Combat Card with a Success Die below 6, before spending Surges. Response (unopposed): Increase that Success Die by 1, to a maximum of 6; this changes no Surge generation.",1,The target ignores one ordinary -1 Success Die penalty on that card.,2,"After that card, the target may move 1 unit. This grants no additional Action.",,,
Counterseal,mental,1,Magecraft,Aether,Resolve,Magecraft,,2,1,"Disjunction, Reinforcement",any,"protection, suppression, support",,Target,Self or one willing ally within 3 units.,Effect,Trigger: An Action or Reaction imposes an ordinary magical Condition on the target. Response (unopposed): Suppress that Condition until the start of your next turn. Specialty and Wound Conditions are unaffected.,1,Suppress ordinary concealment penalties against the source for the target's next card until the start of your next turn.,2,The target reduces its next incoming Damage by 1 until the start of your next turn.,,,
Stone Remembers the Blow,mental,2,Magecraft,Earth,Resolve,Magecraft,,3,2,"Reinforcement, Fabrication",any,"protection, terrain, support",,Target,Self or one willing ally within 4 units.,Effect,"Trigger: An Action or Reaction would deal physical Damage to the target. Response (unopposed): Reduce it by 2; afterward create a temporary low screen in an adjacent empty space until the start of your next turn, with 1 Wound and 0 Resilience.",1,The screen may be placed within 2 units of the target instead.,2,The target also resists up to 2 units of forced movement from the Action.,,,
The Distance Between,mental,2,Magecraft,Space,Intellect,Magecraft,,3,2,"Sculpting, Transmutation",any,"protection, mobility, suppression",,Target,Self or one willing ally within 4 units.,Effect,"Trigger: An area Action is declared including the target. Response (unopposed): Move the target up to 2 units along a clear path, then recheck whether it remains in the area.",1,Increase displacement by 1 unit.,2,Suppress one ordinary restraint during that displacement; it resumes if its source still reaches the destination.,,,
Eclipse of Intent,mental,2,Magecraft,Shadow,Acuity,Magecraft,Composure,3,2,"Disjunction, Sculpting",any,"protection, debuff, terrain",,Target,One detected enemy within 5 units.,Effect,"Trigger: The enemy declares a single-target Action against you or an ally within 3 units. Response: On success, impose -2 on its Success Die for that Action; its target's space gains concealment afterward until the start of your next turn.",1,Another adjacent space also gains concealment.,2,"On a hit, suppress one ordinary accuracy bonus on that Action, to a maximum of 1.",,,
Mercurial Refraction,mental,2,Magecraft,Chaos,Resolve,Magecraft,,3,2,"Transmutation, Disjunction",any,"protection, support",,Target,Self or one willing ally within 4 units.,Effect,"Trigger: An Action or Reaction would deal Fire, Cold, Lightning, Acid, Force or Arcane Damage to the target. Response (unopposed): Change that Damage to another listed type and reduce it by 1. Conditions do not change.",1,The target also resists 1 unit of forced movement from the Action.,2,Reduce that Damage by 1 more.,,,
Reflexive Boundary,mental,0,Psionics,Barrier,Resolve,Psionics,,2,,,any,"protection, suppression",,Target,Self.,Effect,Trigger: An Action or Reaction would deal Damage to you. Response (unopposed): Reduce it by 1.,1,Reduce its forced movement by 1 unit.,2,"If you accepted Strain for this card, suppress one ordinary Condition imposed by that Action until the start of your next turn.",,,
A Fraction Before Impact,mental,0,Psionics,Trance,Acuity,Psionics,,2,,,any,"protection, mobility, setup",,Target,Self.,Effect,Trigger: An Action or Reaction targets you before its roll. Response (unopposed): Gain +1 to the targeted Defense against that Action.,1,Move 1 unit after the Action resolves.,2,"If the Action misses and you accepted no Strain on this card, remove 1 Strain.",,,
Violent Feedback,mental,1,Psionics,Assault,Resolve,Psionics,Composure,2,1,"Telepathy, Imprint",any,"damage, information, counterattack",,Target,One enemy within 4 units.,Effect,"Trigger: The enemy deals Psychic or Arcane Damage to you with an Action. Response: After its Damage, on success deal 1 Psychic Damage.",1,"On a hit, learn whether its Harmony or Composure is lower.",2,Deal +1 Psychic Damage if you accepted Strain for this card.,,,
Arrest the Vector,mental,1,Psionics,Barrier,Resolve,Psionics,,2,1,"Telekinesis, Precognition",any,"protection, support",,Target,Self or one willing ally within 3 units.,Effect,Trigger: An Action or Reaction would force the target to move. Response (unopposed): Reduce that movement by 3 units.,1,Prevent a Prone effect imposed by that same Action.,2,Reduce the Action's Damage to the target by 1.,,,
Warn the Other Self,mental,1,Psionics,Projection,Acuity,Psionics,,2,1,"Clairvoyance, Telepathy",any,"protection, support, information",,Target,Self or one willing ally within 4 units.,Effect,"Trigger: An attack targets the creature from a source you detect, before rolling. Response (unopposed): Grant +1 to the targeted Defense against that attack and reveal the source's occupied space to the target.",1,The target may move 1 unit toward you.,2,Suppress one ordinary sensory penalty on the target until the start of your next turn.,,,
Break the Pattern,mental,1,Psionics,Fracture,Intellect,Psionics,Composure,2,1,"Mesmerism, Biokinesis",any,"debuff, control",,Target,One detected enemy within 4 units.,Effect,"Trigger: The enemy declares the same Combat Card it used on its previous Action. Response: On success, impose -1 on that card's Success Die and make it Slowed 1 after resolving until the start of your next turn.",1,Increase the Slow by 1.,2,"On a hit, suppress 1 point of ordinary accuracy bonus on that card.",,,
Ground the Surge,mental,1,Psionics,Trance,Resolve,Psionics,,2,1,"Imprint, Precognition",any,"setup, mobility, protection",,Target,Self.,Effect,Trigger: An enemy Action misses you while you have Strain. Response (unopposed): Do not accept Strain on this card. Remove 1 Strain and move 1 unit.,1,Gain +1 Composure against that enemy until the start of your next turn.,2,Suppress the Harmony penalty from your remaining Strain until the start of your next turn; the Strain remains.,,,
Between Intention and Motion,mental,2,Psionics,Barrier,Acuity,Psionics,,3,2,"Precognition, Telekinesis",any,"protection, support, mobility",,Target,Self or one willing ally within 4 units.,Effect,Trigger: An Action or Reaction would deal Damage to the target. Response (unopposed): Reduce it by 2; afterward the target may move 1 unit.,1,Increase movement by 1 unit.,2,Prevent one ordinary Prone or Slowed effect imposed by that Action.,,,
A Mind at Two Windows,mental,2,Psionics,Projection,Intellect,Psionics,,3,2,"Clairvoyance, Imprint",any,"protection, mobility, information",,Target,Self or one willing ally within 4 units.,Effect,Trigger: An area Action is declared including the target. Response (unopposed): Move it up to 2 units toward a visible empty supported space; recheck the area afterward.,1,Ignore difficult terrain during this movement.,2,Detect ordinarily concealed enemies within 2 units of the destination until the start of your next turn.,,,
Reciprocal Discontinuity,mental,2,Psionics,Fracture,Intellect,Psionics,Composure,3,2,"Telepathy, Mesmerism",any,"suppression, debuff, counterattack",,Target,One detected enemy within 5 units.,Effect,"Trigger: The enemy successfully imposes an ordinary mental Condition on you. Response: On success, suppress that Condition on you until the start of your next turn and make the enemy Distracted for the same duration.",1,"On a hit, give it -1 Composure until the start of your next turn.",2,"On a hit, deal 1 Psychic Damage.",,,
Body After the Signal,mental,2,Psionics,Assault,Resolve,Psionics,Fortitude,3,2,"Biokinesis, Telekinesis",any,"damage, control, counterattack",,Target,One living enemy within 4 units.,Effect,"Trigger: The enemy finishes voluntary movement while Slowed. Response: On success, deal 2 Force Damage.",1,"On a hit, move it 1 unit sideways.",2,"On a hit, suppress 1 point of its next ordinary Movement bonus until the start of your next turn.",,,
