name,domain,rank,style,subtype,attr,skill,defense,min,cost,expertises,expertises_mode,tags,flavor,target_label,target_html,effect_label,effect_html,surge1_n,surge1_html,surge2_n,surge2_html,rider_title,rider_html,rider_meta
Wheel Cuts the Returning Road,physical,2,Prowess,Finisher,Might,Prowess,Fortitude,3,2,"Reaving, Grappling",any,"damage, control, counterattack",,Target,One enemy within melee Weapon Range.,Effect,"Trigger: A Prone or Slowed enemy voluntarily moves or stands. Response: After that movement or standing, on success deal 1 weapon Damage and push it 1 unit.",1,"On a hit, move into its vacated space.",2,Spend 2 Combo on a hit to deal +1 weapon Damage and knock it Prone.,,,
Duck Behind the Stock,physical,0,Ballistics,Suppression,Vigor,Ballistics,,2,,,any,"protection, mobility",,Target,Self.,Effect,Trigger: A ranged Action would deal Damage to you. Response (unopposed): Reduce that Damage by 1.,1,"After the attack, move 1 unit toward cover.",2,Reduce its Damage by 1 more if you already have cover.,,,
Snap Line,physical,0,Ballistics,Targeting,Grace,Ballistics,Fortitude,2,,,any,"damage, setup, counterattack",,Target,One visible enemy within ranged Weapon Range.,Effect,"Trigger: The enemy finishes voluntary movement out of cover. Response: On success, deal 1 weapon Damage.",1,Ignore ordinary concealment for this shot.,2,"After resolving, establish Lock on the target.",,,
Track the Muzzle,physical,1,Ballistics,Targeting,Grace,Ballistics,,2,1,"Precision, Cadence",any,"protection, setup",,Target,Self; your visible Locked target.,Effect,"Trigger: Your Locked target declares a ranged Action against you, before rolling. Response (unopposed): Gain +1 Fortitude against that Action.",1,"If it misses, preserve Lock through its next move behind cover until the start of your next turn.",2,End Lock to reduce Damage from that Action by 1.,,,
Crossing Shot,physical,1,Ballistics,Suppression,Vigor,Ballistics,Fortitude,2,1,"Trajectory, Payload",any,"damage, control, counterattack",,Target,One enemy within ranged Weapon Range.,Effect,"Trigger: The enemy crosses a visible gap of at least 1 unit between cover sources. Response: After that movement, on success deal 1 weapon Damage and make it Slowed 1 until the start of your next turn.",1,Increase the Slow by 1.,2,"If hit and Locked, end Lock to impose -1 on its next ranged Success Die until the start of your next turn.",,,
Cut the Angle,physical,1,Ballistics,Trickshot,Grace,Ballistics,,2,1,"Mobility, Flair",any,"protection, mobility",,Target,Self.,Effect,"Trigger: A ranged Action targets you, before its roll. Response (unopposed): Move 1 unit and gain +1 Fortitude against that Action. The attack is rechecked from your new space.",1,"Move 1 additional unit, but only toward cover.",2,Your movement does not trigger movement Reactions from the attacker.,,,
Return a Favor,physical,1,Ballistics,Salvo,Grace,Ballistics,Fortitude,2,1,"Cadence, Penetration",any,"damage, area, counterattack",,Target,One enemy within ranged Weapon Range.,Effect,"Trigger: The enemy's ranged Action misses you or an ally within 2 units. Response: On success, deal 1 weapon Damage.",1,Ignore 1 point of cover bonus.,2,Also attack a second enemy within 2 units of the first with the same roll for 1 weapon Damage.,,,
Leave Nothing Open,physical,1,Ballistics,Execution,Grace,Ballistics,Fortitude,2,1,"Precision, Flair",any,"damage, control, counterattack",,Target,Your visible Locked target within ranged Weapon Range.,Effect,"Trigger: The target fails an Action while Slowed or Distracted. Response: On success, deal 1 weapon Damage.",1,"On a hit, push it 1 unit out of its current space.",2,"After a hit, end Lock to deal +1 weapon Damage.",,,
Break Contact,physical,2,Ballistics,Suppression,Vigor,Ballistics,,3,2,"Payload, Mobility",any,"protection, support, mobility",,Target,Self or one willing ally within 3 units.,Effect,"Trigger: An enemy Action would deal Damage to the target. Response (unopposed): Reduce that Damage by 1; after the Action, the protected creature may move 2 units.",1,The movement does not trigger movement Reactions from the attacker.,2,Reduce the Damage by 1 more if its source is your Locked target.,,,
Intercept the Payload,physical,2,Ballistics,Trickshot,Grace,Ballistics,,3,2,"Precision, Penetration",any,"protection, support, suppression",,Target,Self or a willing ally within ranged Weapon Range and within 4 units.,Effect,"Trigger: A visible physical projectile Action would deal Damage to the target. Response (unopposed): Reduce that Damage by 2. This cannot intercept beams, areas or nonprojectile effects.",1,The target may move 1 unit after the attack.,2,Also suppress one ordinary Condition imposed by that projectile until the start of your next turn.,,,
Answer in Stereo,physical,2,Ballistics,Salvo,Grace,Ballistics,Fortitude,3,2,"Cadence, Trajectory",any,"damage, area, counterattack",,Target,Up to two enemies within ranged Weapon Range.,Effect,"Trigger: An enemy ranged Action misses you while another enemy is within 2 units of its source. Response: On success, deal 1 weapon Damage to each selected target.",1,Ignore 1 point of cover bonus against one target.,2,One hit target is Distracted until the start of your next turn.,,,
Last Clear Window,physical,2,Ballistics,Execution,Grace,Ballistics,Fortitude,3,2,"Flair, Penetration",any,"damage, debuff, counterattack",,Target,Your visible Locked target within ranged Weapon Range.,Effect,"Trigger: The target declares a defensive Action, before its benefits apply. Response: On success, deal 2 weapon Damage before that Action continues.",1,Ignore 1 point of cover bonus.,2,"After a hit, end Lock to suppress 1 point of the declared Action's ordinary defensive bonus until the start of your next turn. The Action is not canceled.",,,
Flexile Impact,physical,0,Gestalt,Bulwark,Vigor,Gestalt,,2,,,any,"protection, mobility",,Target,Self.,Effect,Trigger: An Action or Reaction would deal physical Damage to you. Response (unopposed): Reduce that Damage by 1.,1,"After the attack, move 1 unit.",2,"Reduce the Damage by 1 more, but become Unstable until your next turn.",,,
Contact Quills,physical,0,Gestalt,Predator,Grace,Gestalt,Fortitude,2,,,any,"damage, control, counterattack",,Target,One adjacent enemy.,Effect,"Trigger: The enemy misses you with a bodily melee Action. Response: On success, deal 1 Piercing Damage.",1,"After a hit, move 1 unit away.",2,"On a hit, the enemy is Slowed 1 until the start of your next turn.",,,
Predatory Intercept,physical,1,Gestalt,Predator,Grace,Gestalt,Fortitude,2,1,"Awareness, Armament",any,"damage, control, counterattack",,Target,One enemy adjacent after it moves.,Effect,"Trigger: The enemy ends voluntary movement adjacent to you. Response: On success, deal 1 Slashing Damage.",1,Ignore ordinary concealment for this attack.,2,"After a hit, pull the target 1 unit.",,,
Sacrificial Carapace,physical,1,Gestalt,Bulwark,Vigor,Gestalt,,2,1,"Regeneration, Integration",any,"protection, suppression, support",,Target,Self or one adjacent willing ally.,Effect,Trigger: An Action or Reaction would deal Damage to the target. Response (unopposed): Reduce that Damage by 1. You may end your Adaptation to reduce it by 1 more.,1,Suppress one ordinary Condition imposed by the Action until the start of your next turn.,2,Suppress one Light physical Wound Condition's numerical penalties on yourself until the start of your next turn.,,,
Mass Redistribution,physical,1,Gestalt,Titan,Might,Gestalt,,2,1,"Metabolism, Plasticity",any,"protection, mobility",,Target,Self.,Effect,"Trigger: An Action or Reaction would push, pull or knock you Prone. Response (unopposed): Reduce forced movement by 2 units and prevent its Prone effect.",1,"After resolving, move 1 unit along a supported surface.",2,Reduce Damage from that Action by 1.,,,
Elastic Recoil,physical,1,Gestalt,Strider,Grace,Gestalt,,2,1,"Locomotion, Plasticity",any,"protection, mobility",,Target,Self.,Effect,Trigger: A melee Action targets you before rolling. Response (unopposed): Move 1 unit and gain +1 Fortitude against it. Recheck its target validity afterward.,1,Your movement ignores difficult terrain.,2,Move 1 additional unit away from the attacker.,,,
Borrowed Reflex Arc,physical,1,Gestalt,Chimera,Vigor,Gestalt,,2,1,"Integration, Awareness",any,"protection, information",,Target,Self.,Effect,"Trigger: An Action or Reaction targets you while you have an Adaptation, before its roll. Response (unopposed): Retain or end that Adaptation; gain +1 to the targeted Defense against the Action.",1,Detect the attacker's space if it is within 3 units and not behind a solid barrier.,2,"If you ended the Adaptation, reduce Damage from the Action by 1.",,,
Rebound Anatomy,physical,2,Gestalt,Titan,Might,Gestalt,Fortitude,3,2,"Armament, Plasticity",any,"damage, control, counterattack",,Target,One adjacent enemy.,Effect,"Trigger: The enemy pushes you or knocks you Prone with an Action. Response: After its effect, on success deal 2 Bludgeoning Damage and stand if there is room.",1,"On a hit, push the enemy 1 unit.",2,"On a hit, move it to another empty adjacent space and remain adjacent.",,,
Organ Shutter,physical,2,Gestalt,Bulwark,Vigor,Gestalt,,3,2,"Regeneration, Metabolism",any,"protection, suppression",,Target,Self.,Effect,"Trigger: An Action or Reaction would deal Damage to you. Response (unopposed): Reduce the Damage by 2, then become Unstable until your next turn.",1,Suppress one ordinary Poison Condition until the start of your next turn.,2,Suppress one non-Critical physical Wound Condition's numerical penalties until the start of your next turn.,,,
Slingtail Rescue,physical,2,Gestalt,Strider,Grace,Gestalt,,3,2,"Locomotion, Integration",any,"protection, support, mobility",,Target,One willing ally within 2 units.,Effect,"Trigger: An area Action is declared that includes the ally, before rolling. Response (unopposed): Pull the ally up to 2 units toward you along a clear path, then recheck whether it remains in the area.",1,Increase the pull by 1 unit.,2,"If it remains in the area, reduce that Action's Damage to it by 1.",,,
Nerve-Route Diversion,physical,2,Gestalt,Chimera,Vigor,Gestalt,,3,2,"Awareness, Regeneration",any,"protection, suppression, information",,Target,Self.,Effect,Trigger: An Action or Reaction would impose an ordinary sensory or Movement-limiting Condition on you. Response (unopposed): Suppress that Condition until the start of your next turn.,1,Detect the source's space if it is within 3 units and not behind a solid barrier.,2,Also reduce Damage from the Action by 1; your current Adaptation ends.,,,
